NYISO Hourly Temperatures (Fahrenheit) in Major Cities
Hourly temperature data for major cities
Source: EIA collected from NOAA
Buffalo / Cheektow Temperature (Fahrenheit),Buffalo / Cheektow Temperature Observation Time (Eastern),New York City / JFK Airport Temperature (Fahrenheit),New York City / JFK Airport Temperature Observation Time (Eastern),UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number
42.1,2022-01-01 00:54:00,48.9,2022-01-01 00:51:00,2022-01-01 06:00:00,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01,1
43.0,2022-01-01 01:54:00,48.9,2022-01-01 01:51:00,2022-01-01 07:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01,2
45.0,2022-01-01 02:54:00,48.9,2022-01-01 02:51:00,2022-01-01 08:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01,3
46.0,2022-01-01 03:54:00,48.9,2022-01-01 03:51:00,2022-01-01 09:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01,4
48.0,2022-01-01 04:54:00,50.0,2022-01-01 04:51:00,2022-01-01 10:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01,5
51.1,2022-01-01 05:54:00,50.0,2022-01-01 05:51:00,2022-01-01 11:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01,6
48.9,2022-01-01 06:54:00,50.0,2022-01-01 06:51:00,2022-01-01 12:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01,7
46.9,2022-01-01 07:54:00,51.1,2022-01-01 07:51:00,2022-01-01 13:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01,8
46.9,2022-01-01 08:54:00,51.1,2022-01-01 08:51:00,2022-01-01 14:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01,9
45.0,2022-01-01 09:54:00,50.0,2022-01-01 09:51:00,2022-01-01 15:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01,10
43.0,2022-01-01 10:54:00,50.0,2022-01-01 10:51:00,2022-01-01 16:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01,11
42.1,2022-01-01 11:54:00,51.1,2022-01-01 11:51:00,2022-01-01 17:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01,12
41.0,2022-01-01 12:54:00,51.1,2022-01-01 12:51:00,2022-01-01 18:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01,13
39.9,2022-01-01 13:54:00,52.0,2022-01-01 13:51:00,2022-01-01 19:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01,14
39.0,2022-01-01 14:54:00,53.1,2022-01-01 14:51:00,2022-01-01 20:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01,15
39.0,2022-01-01 15:54:00,52.0,2022-01-01 15:51:00,2022-01-01 21:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01,16
37.9,2022-01-01 16:54:00,51.1,2022-01-01 16:51:00,2022-01-01 22:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01,17
37.9,2022-01-01 17:54:00,52.0,2022-01-01 17:51:00,2022-01-01 23:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01,18
37.0,2022-01-01 18:54:00,51.1,2022-01-01 18:51:00,2022-01-02 00:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01,19
37.0,2022-01-01 19:54:00,52.0,2022-01-01 19:51:00,2022-01-02 01:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01,20
35.1,2022-01-01 20:54:00,52.0,2022-01-01 20:51:00,2022-01-02 02:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01,21
34.0,2022-01-01 21:54:00,52.0,2022-01-01 21:51:00,2022-01-02 03:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01,22
34.0,2022-01-01 22:54:00,53.1,2022-01-01 22:51:00,2022-01-02 04:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-01,23
34.0,2022-01-01 23:54:00,53.1,2022-01-01 23:51:00,2022-01-02 05:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,2022-01-01,24
33.1,2022-01-02 00:54:00,53.1,2022-01-02 00:51:00,2022-01-02 06:00:00,2022-01-02 00:00:00,2022-01-02 01:00:00,2022-01-02,1
30.9,2022-01-02 01:54:00,53.1,2022-01-02 01:51:00,2022-01-02 07:00:00,2022-01-02 01:00:00,2022-01-02 02:00:00,2022-01-02,2
30.9,2022-01-02 02:54:00,53.1,2022-01-02 02:51:00,2022-01-02 08:00:00,2022-01-02 02:00:00,2022-01-02 03:00:00,2022-01-02,3
30.9,2022-01-02 03:54:00,51.1,2022-01-02 03:51:00,2022-01-02 09:00:00,2022-01-02 03:00:00,2022-01-02 04:00:00,2022-01-02,4
30.9,2022-01-02 04:54:00,52.0,2022-01-02 04:51:00,2022-01-02 10:00:00,2022-01-02 04:00:00,2022-01-02 05:00:00,2022-01-02,5
30.0,2022-01-02 05:54:00,52.0,2022-01-02 05:51:00,2022-01-02 11:00:00,2022-01-02 05:00:00,2022-01-02 06:00:00,2022-01-02,6
30.0,2022-01-02 06:54:00,51.1,2022-01-02 06:51:00,2022-01-02 12:00:00,2022-01-02 06:00:00,2022-01-02 07:00:00,2022-01-02,7
27.0,2022-01-02 07:54:00,51.1,2022-01-02 07:51:00,2022-01-02 13:00:00,2022-01-02 07:00:00,2022-01-02 08:00:00,2022-01-02,8
26.1,2022-01-02 08:54:00,52.0,2022-01-02 08:51:00,2022-01-02 14:00:00,2022-01-02 08:00:00,2022-01-02 09:00:00,2022-01-02,9
25.0,2022-01-02 09:54:00,52.0,2022-01-02 09:51:00,2022-01-02 15:00:00,2022-01-02 09:00:00,2022-01-02 10:00:00,2022-01-02,10
26.1,2022-01-02 10:54:00,53.1,2022-01-02 10:51:00,2022-01-02 16:00:00,2022-01-02 10:00:00,2022-01-02 11:00:00,2022-01-02,11
26.1,2022-01-02 11:54:00,53.1,2022-01-02 11:51:00,2022-01-02 17:00:00,2022-01-02 11:00:00,2022-01-02 12:00:00,2022-01-02,12
25.0,2022-01-02 12:54:00,54.0,2022-01-02 12:51:00,2022-01-02 18:00:00,2022-01-02 12:00:00,2022-01-02 13:00:00,2022-01-02,13
25.0,2022-01-02 13:54:00,57.0,2022-01-02 13:51:00,2022-01-02 19:00:00,2022-01-02 13:00:00,2022-01-02 14:00:00,2022-01-02,14
25.0,2022-01-02 14:54:00,57.9,2022-01-02 14:51:00,2022-01-02 20:00:00,2022-01-02 14:00:00,2022-01-02 15:00:00,2022-01-02,15
24.1,2022-01-02 15:54:00,53.1,2022-01-02 15:51:00,2022-01-02 21:00:00,2022-01-02 15:00:00,2022-01-02 16:00:00,2022-01-02,16
24.1,2022-01-02 16:54:00,50.0,2022-01-02 16:51:00,2022-01-02 22:00:00,2022-01-02 16:00:00,2022-01-02 17:00:00,2022-01-02,17
24.1,2022-01-02 17:54:00,50.0,2022-01-02 17:51:00,2022-01-02 23:00:00,2022-01-02 17:00:00,2022-01-02 18:00:00,2022-01-02,18
21.9,2022-01-02 18:54:00,48.0,2022-01-02 18:51:00,2022-01-03 00:00:00,2022-01-02 18:00:00,2022-01-02 19:00:00,2022-01-02,19
21.0,2022-01-02 19:54:00,44.1,2022-01-02 19:51:00,2022-01-03 01:00:00,2022-01-02 19:00:00,2022-01-02 20:00:00,2022-01-02,20
21.9,2022-01-02 20:54:00,39.9,2022-01-02 20:51:00,2022-01-03 02:00:00,2022-01-02 20:00:00,2022-01-02 21:00:00,2022-01-02,21
21.9,2022-01-02 21:54:00,39.0,2022-01-02 21:51:00,2022-01-03 03:00:00,2022-01-02 21:00:00,2022-01-02 22:00:00,2022-01-02,22
21.0,2022-01-02 22:54:00,39.0,2022-01-02 22:51:00,2022-01-03 04:00:00,2022-01-02 22:00:00,2022-01-02 23:00:00,2022-01-02,23
19.9,2022-01-02 23:54:00,39.0,2022-01-02 23:51:00,2022-01-03 05:00:00,2022-01-02 23:00:00,2022-01-03 00:00:00,2022-01-02,24
19.9,2022-01-03 00:54:00,37.9,2022-01-03 00:51:00,2022-01-03 06:00:00,2022-01-03 00:00:00,2022-01-03 01:00:00,2022-01-03,1
19.0,2022-01-03 01:54:00,37.9,2022-01-03 01:51:00,2022-01-03 07:00:00,2022-01-03 01:00:00,2022-01-03 02:00:00,2022-01-03,2
17.1,2022-01-03 02:54:00,37.0,2022-01-03 02:51:00,2022-01-03 08:00:00,2022-01-03 02:00:00,2022-01-03 03:00:00,2022-01-03,3
15.1,2022-01-03 03:54:00,35.1,2022-01-03 03:51:00,2022-01-03 09:00:00,2022-01-03 03:00:00,2022-01-03 04:00:00,2022-01-03,4
15.1,2022-01-03 04:54:00,34.0,2022-01-03 04:51:00,2022-01-03 10:00:00,2022-01-03 04:00:00,2022-01-03 05:00:00,2022-01-03,5
15.1,2022-01-03 05:54:00,33.1,2022-01-03 05:51:00,2022-01-03 11:00:00,2022-01-03 05:00:00,2022-01-03 06:00:00,2022-01-03,6
12.0,2022-01-03 06:54:00,32.0,2022-01-03 06:51:00,2022-01-03 12:00:00,2022-01-03 06:00:00,2022-01-03 07:00:00,2022-01-03,7
10.9,2022-01-03 07:54:00,30.9,2022-01-03 07:51:00,2022-01-03 13:00:00,2022-01-03 07:00:00,2022-01-03 08:00:00,2022-01-03,8
12.9,2022-01-03 08:54:00,30.9,2022-01-03 08:51:00,2022-01-03 14:00:00,2022-01-03 08:00:00,2022-01-03 09:00:00,2022-01-03,9
16.0,2022-01-03 09:54:00,30.0,2022-01-03 09:51:00,2022-01-03 15:00:00,2022-01-03 09:00:00,2022-01-03 10:00:00,2022-01-03,10
18.0,2022-01-03 10:54:00,30.0,2022-01-03 10:51:00,2022-01-03 16:00:00,2022-01-03 10:00:00,2022-01-03 11:00:00,2022-01-03,11
18.0,2022-01-03 11:54:00,28.9,2022-01-03 11:51:00,2022-01-03 17:00:00,2022-01-03 11:00:00,2022-01-03 12:00:00,2022-01-03,12
18.0,2022-01-03 12:54:00,28.9,2022-01-03 12:51:00,2022-01-03 18:00:00,2022-01-03 12:00:00,2022-01-03 13:00:00,2022-01-03,13
,,30.0,2022-01-03 13:51:00,2022-01-03 19:00:00,2022-01-03 13:00:00,2022-01-03 14:00:00,2022-01-03,14
21.0,2022-01-03 14:54:00,28.9,2022-01-03 14:51:00,2022-01-03 20:00:00,2022-01-03 14:00:00,2022-01-03 15:00:00,2022-01-03,15
19.9,2022-01-03 15:54:00,28.9,2022-01-03 15:51:00,2022-01-03 21:00:00,2022-01-03 15:00:00,2022-01-03 16:00:00,2022-01-03,16
19.0,2022-01-03 16:54:00,27.0,2022-01-03 16:51:00,2022-01-03 22:00:00,2022-01-03 16:00:00,2022-01-03 17:00:00,2022-01-03,17
17.1,2022-01-03 17:54:00,27.0,2022-01-03 17:51:00,2022-01-03 23:00:00,2022-01-03 17:00:00,2022-01-03 18:00:00,2022-01-03,18
17.1,2022-01-03 18:54:00,27.0,2022-01-03 18:51:00,2022-01-04 00:00:00,2022-01-03 18:00:00,2022-01-03 19:00:00,2022-01-03,19
16.0,2022-01-03 19:54:00,26.1,2022-01-03 19:51:00,2022-01-04 01:00:00,2022-01-03 19:00:00,2022-01-03 20:00:00,2022-01-03,20
15.1,2022-01-03 20:54:00,25.0,2022-01-03 20:51:00,2022-01-04 02:00:00,2022-01-03 20:00:00,2022-01-03 21:00:00,2022-01-03,21
17.1,2022-01-03 21:54:00,24.1,2022-01-03 21:51:00,2022-01-04 03:00:00,2022-01-03 21:00:00,2022-01-03 22:00:00,2022-01-03,22
19.0,2022-01-03 22:54:00,23.0,2022-01-03 22:51:00,2022-01-04 04:00:00,2022-01-03 22:00:00,2022-01-03 23:00:00,2022-01-03,23
19.9,2022-01-03 23:54:00,21.9,2022-01-03 23:51:00,2022-01-04 05:00:00,2022-01-03 23:00:00,2022-01-04 00:00:00,2022-01-03,24
